sample_id,sampling_frame,selection_seed,id
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_test_659
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_test_919
full_6454_pool_seed_20260618,full_6454_pool,20260618,medfact_bench_1763
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_train_1072
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_train_454
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_validation_958
full_6454_pool_seed_20260618,full_6454_pool,20260618,medfact_bench_1401
full_6454_pool_seed_20260618,full_6454_pool,20260618,medfact_bench_1824
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_test_635
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_train_333
full_6454_pool_seed_20260618,full_6454_pool,20260618,medfact_bench_1792
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_validation_1102
full_6454_pool_seed_20260618,full_6454_pool,20260618,medfact_bench_1391
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_train_519
full_6454_pool_seed_20260618,full_6454_pool,20260618,medfact_bench_975
full_6454_pool_seed_20260618,full_6454_pool,20260618,medfact_bench_732
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_test_275
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_train_810
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_validation_153
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_validation_264
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_train_1180
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_validation_828
full_6454_pool_seed_20260618,full_6454_pool,20260618,medfact_bench_369
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_validation_215
full_6454_pool_seed_20260618,full_6454_pool,20260618,medfact_bench_575
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_train_1485
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_train_959
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_train_847
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_train_240
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_train_674
full_6454_pool_seed_20260618,full_6454_pool,20260618,pubhealth_validation_282
